t,SOC_HE,SOC_HP,SOC_HE_aged,SOC_HP_aged
3210,0.5761503608005323,0.7661379526093413,0.4988192431454933,0.7652439024390242
3240,0.5730017987889061,0.7661379526093413,0.49491884512760465,0.7652439024390242
3270,0.56985323677728,0.7661379526093413,0.491018447109716,0.7652439024390242
3300,0.5667046747656538,0.7661379526093413,0.4871180490918273,0.7652439024390242
3330,0.5635561127540276,0.7661379526093413,0.48321765107393866,0.7652439024390242
3360,0.5604075507424015,0.7661379526093413,0.47931725305605,0.7652439024390242
3390,0.5581176874612187,0.7661379526093413,0.476480599952131,0.7652439024390242
3420,0.555827824180036,0.7661379526093413,0.473643946848212,0.7652439024390242
3450,0.5535379608988532,0.7661379526093413,0.470807293744293,0.7652439024390242
3480,0.5512480976176705,0.7661379526093413,0.46797064064037397,0.7652439024390242
3510,0.5489582343364877,0.7661379526093413,0.46513398753645496,0.7652439024390242
3540,0.546668371055305,0.7661379526093413,0.46229733443253596,0.7652439024390242
3570,0.5443785077741222,0.7661379526093413,0.45946068132861695,0.7652439024390242
3600,0.5420886444929395,0.7661379526093413,0.45662402822469794,0.7652439024390242
3630,0.5397987812117567,0.7661379526093413,0.45378737512077894,0.7652439024390242
3660,0.5386538495711654,0.7661379526093413,0.45236904856881943,0.7652439024390242
3690,0.537508917930574,0.7661379526093413,0.45095072201685993,0.7652439024390242
3720,0.5363639862899826,0.7661379526093413,0.4495323954649004,0.7652439024390242
3750,0.5300668622667302,0.7661379526093413,0.44173159942912316,0.7652439024390242
3780,0.5237697382434777,0.7661379526093413,0.4339308033933459,0.7652439024390242
3810,0.5173123237905425,0.7452587511797628,0.4259314416402943,0.7442252510760399
3840,0.5108549093376072,0.7119090369509482,0.4179320798872427,0.7106527977044472
3870,0.504397494884672,0.6945928391782944,0.4099327181341911,0.6932209469153511
3900,0.4979400804317368,0.6915286560333392,0.4019333563811395,0.6901362984218073
3930,0.49278788804907575,0.6915286560333392,0.3955508868973217,0.6901362984218073
3960,0.48633047359614057,0.6742124582606854,0.3875515251442701,0.6727044476327112
3990,0.4798730591432054,0.6729297769441925,0.3795521633912185,0.6714131994261114
4020,0.4734156446902702,0.6663025901423127,0.3715528016381669,0.6647417503586796
4050,0.46711852066701776,0.6663025901423127,0.3637520056023896,0.6647417503586796
4080,0.46110762955391316,0.6663025901423127,0.3563057912046022,0.6647417503586796
4110,0.454650215100978,0.665910659740051,0.3483064294515506,0.6643472022955519
4140,0.44835309107772553,0.665910659740051,0.34050563341577333,0.6643472022955519
4170,0.44320089869506446,0.665910659740051,0.33412316393195557,0.6643472022955519
4200,0.43947987086314255,0.665910659740051,0.32951360263808716,0.6643472022955519
4230,0.43719000758195986,0.665910659740051,0.32667694953416815,0.6643472022955519
4260,0.435186377210925,0.665910659740051,0.324194878068239,0.6643472022955519
4290,0.43318274683989016,0.665910659740051,0.32171280660230983,0.6643472022955519
4320,0.43146534937900316,0.665910659740051,0.3195853167743706,0.6643472022955519
4350,0.4303204177384118,0.665910659740051,0.3181669902224111,0.6643472022955519
4380,0.4291754860978204,0.665910659740051,0.31674866367045157,0.6643472022955519
4410,0.42803055445722904,0.665910659740051,0.31533033711849207,0.6643472022955519
4440,0.42688562281663767,0.665910659740051,0.31391201056653256,0.6643472022955519
4470,0.4257406911760463,0.665910659740051,0.31249368401457306,0.6643472022955519
4500,0.4245957595354549,0.665910659740051,0.31107535746261356,0.6643472022955519
